figi,instrument_type,quantity,average_position_price,expected_yield,current_nkd,average_position_price_pt,current_price,average_position_price_fifo,quantity_lots,blocked,blocked_lots,position_uid,instrument_uid,var_margin,expected_yield_fifo
BBG00XH4W3N3,bond,13.0,784.8,-2831.4,11.7,0.0,567.0,784.8,13.0,False,0.0,2c354d2c-98d0-4705-8370-92e604e31ece,2dd3b003-aca2-4920-89ce-8d827c637372,0.0,-2831.4
BBG00Y90V3M0,bond,1.0,283.8,-20.1,0.26,0.0,263.7,283.8,1.0,False,0.0,8fd0ca97-edd8-4ed2-b3bc-d443dea8789b,32decb51-bd31-461e-8f87-fa7ecff82952,0.0,-20.1
BBG011MDBQV9,bond,7.0,877.3,-1232.3,30.97,0.0,701.3,877.3,7.0,False,0.0,1acc547f-f8b6-486d-a0ca-f2bd9d092d09,44d709e2-a362-417d-92e3-36996f45b747,0.0,-1232.3
BBG013RTHWK8,etf,200.0,6.121,398.12,0.0,0.0,8.112,6.121,200.0,False,0.0,8186b92b-62b2-42ad-96c2-6158566a1e7d,49ddaef5-13e8-48fb-b16f-7f940f475151,0.0,398.12
BBG333333333,etf,500.0,4.25,828.0,0.0,0.0,5.91,4.25,500.0,False,0.0,29888afc-181d-45ed-a00b-8fe55a9cec9b,9654c2dd-6993-427e-80fa-04e80a1cf4da,0.0,828.0
BBG00B9PJ7V0,bond,4.0,866.99,-788.0,12.57,0.0,669.99,866.99,4.0,False,0.0,8a37365a-8fe3-4fcb-93e0-924ef984e3cc,a29f7dc2-1eed-4db8-a14d-bf1f5d881ab4,0.0,-788.0
RUB000UTSTOM,currency,49243.28,1.0,0.0,0.0,0.0,1.0,1.0,49243.28,False,0.0,33e24a92-aab0-409c-88b8-f2d57415b920,a92e2e25-a698-45cc-a781-167cf465257c,0.0,0.0
BBG00N8J90K7,bond,6.0,929.38,-649.68,8.71,0.0,821.1,929.38,6.0,False,0.0,a0e2bd0d-2782-4836-b547-0f591d98ba93,c355adac-9536-4aed-a09f-15bc4e99d4b5,0.0,-649.68
TCS00A103D37,bond,173.0,101.39219,-899.51,1.24,0.0,96.19269,101.39219,173.0,False,0.0,461af849-8476-4900-bc59-60f1af729eba,dfbb0ff1-67cc-410e-bfe8-6a62d845b50c,0.0,-899.51
BBG004730N88,share,100.0,323.35,-7411.99,0.0,0.0,249.23,323.35,10.0,False,0.0,41eb2102-5333-4713-bf15-72b204c4bf7b,e6123145-9665-43e0-8413-cd61b8aa9b13,0.0,-7411.99
BBG011616RM7,bond,10.0,885.0,-1718.0,36.19,0.0,713.2,885.0,10.0,False,0.0,80edfa26-c0a8-41ea-9d9c-216fd34c6f22,ea070157-241a-4b42-9d85-a17f01fdb936,0.0,-1718.0
